±ø½X	²Õ¥ó¥N½X	²Õ¥ó±ø½X	¸j©w®É¶¡	¸j©w¤H­û
516-22011400300013	KSB SN	505-21050700910031	2022-1-19 15:28:42	«J¨Î§»
516-22011400300013	KSB1 DIMM0	NCA12107020240153	2022-1-19 15:28:42	«J¨Î§»
516-22011400300013	KSB1 DIMM1	NCA12107020240152	2022-1-19 15:28:42	«J¨Î§»
516-22011400300013	KSB PN2	78625-2152-00025	2022-1-19 15:28:42	«J¨Î§»
516-22011400300013	KSB SN2	505-21050700910025	2022-1-19 15:28:42	«J¨Î§»
516-22011400300013	KSB2 DIMM1	NCA12107020240051	2022-1-19 15:28:42	«J¨Î§»
516-22011400300013	KSB2 DIMM0	NCA12107020240052	2022-1-19 15:28:42	«J¨Î§»
516-22011400300013	ATHENA MBSN	505-21072000110047	2022-1-19 15:28:42	«J¨Î§»
516-22011400300013	MBSN	84183-2149-00047	2022-1-19 15:28:42	«J¨Î§»
516-22011400300013	YB BLADE SN	C0-0019-14-01TBA2204AC23A8C	2022-1-19 15:28:42	«J¨Î§»
516-22011400300014	SPPN	M06-01213-G4_A04	2022-1-19 15:37:56	«J¨Î§»
516-22011400300014	YB ABB-FLB	7C-0030-00R03	2022-1-19 15:37:56	«J¨Î§»
516-22011400300014	YB U2BP PN	7C-0032-01-01	2022-1-19 15:37:56	«J¨Î§»
516-22011400300014	YB U2BP PN2	7C-0032-01-01	2022-1-19 15:37:56	«J¨Î§»
516-22011400300014	YB KSB PN	7C-0031-00-01	2022-1-19 15:37:56	«J¨Î§»
516-22011400300014	YB KSB PN2	7C-0031-00-01	2022-1-19 15:37:56	«J¨Î§»
516-22011400300014	ATHENA MBPN	7C-0022-02-03	2022-1-19 15:37:56	«J¨Î§»
516-22011400300014	ABB-FLB	505-21050700410009	2022-1-19 15:37:56	«J¨Î§»
516-22011400300014	U2BP PN	78626-2152-00010	2022-1-19 15:37:56	«J¨Î§»
516-22011400300014	U2BP SN	505-21050700710010	2022-1-19 15:37:56	«J¨Î§»
516-22011400300014	U2BP PN2	78626-2152-00024	2022-1-19 15:37:56	«J¨Î§»
516-22011400300014	U2BP SN2	505-21050700710024	2022-1-19 15:37:56	«J¨Î§»
516-22011400300014	KSB PN	78625-2152-00026	2022-1-19 15:37:56	«J¨Î§»
516-22011400300014	KSB SN	505-21050700910026	2022-1-19 15:37:56	«J¨Î§»
516-22011400300014	KSB1 DIMM0	NCA12107020240053	2022-1-19 15:37:56	«J¨Î§»
516-22011400300014	KSB1 DIMM1	NCA12107020240054	2022-1-19 15:37:56	«J¨Î§»
516-22011400300014	KSB PN2	78625-2152-00032	2022-1-19 15:37:56	«J¨Î§»
516-22011400300014	KSB SN2	505-21050700910032	2022-1-19 15:37:56	«J¨Î§»
516-22011400300014	KSB2 DIMM1	NCA12107020240055	2022-1-19 15:37:56	«J¨Î§»
516-22011400300014	KSB2 DIMM0	NCA12107020240056	2022-1-19 15:37:56	«J¨Î§»
516-22011400300014	ATHENA MBSN	505-21072000110048	2022-1-19 15:37:56	«J¨Î§»
516-22011400300014	MBSN	84183-2149-00048	2022-1-19 15:37:56	«J¨Î§»
516-22011400300014	YB BLADE SN	C0-0019-14-01TBA2204AC23A98	2022-1-19 15:37:56	«J¨Î§»
516-22011400300015	ABB-FLB	505-21050700410094	2022-1-19 16:30:56	¬_­³§»
516-22011400300015	SPPN	M06-01213-G4_A04	2022-1-19 15:51:14	«J¨Î§»
516-22011400300015	YB ABB-FLB	7C-0030-00R03	2022-1-19 15:51:14	«J¨Î§»
516-22011400300015	YB U2BP PN	7C-0032-01-01	2022-1-19 15:51:14	«J¨Î§»
516-22011400300015	YB U2BP PN2	7C-0032-01-01	2022-1-19 15:51:14	«J¨Î§»
516-22011400300015	YB KSB PN	7C-0031-00-01	2022-1-19 15:51:14	«J¨Î§»
516-22011400300015	YB KSB PN2	7C-0031-00-01	2022-1-19 15:51:14	«J¨Î§»
516-22011400300015	ATHENA MBPN	7C-0022-02-03	2022-1-19 15:51:14	«J¨Î§»
516-22011400300015	U2BP PN	78626-2152-00052	2022-1-19 15:51:14	«J¨Î§»
516-22011400300015	U2BP SN	505-21050700710052	2022-1-19 15:51:14	«J¨Î§»
516-22011400300015	U2BP PN2	78626-2152-00058	2022-1-19 15:51:14	«J¨Î§»
516-22011400300015	U2BP SN2	505-21050700710058	2022-1-19 15:51:14	«J¨Î§»
516-22011400300015	KSB PN	78625-2152-00043	2022-1-19 15:51:14	«J¨Î§»
516-22011400300015	KSB SN	505-21050700910043	2022-1-19 15:51:14	«J¨Î§»
516-22011400300015	KSB1 DIMM0	NCA12107020240057	2022-1-19 15:51:14	«J¨Î§»
516-22011400300015	KSB1 DIMM1	NCA12107020240058	2022-1-19 15:51:14	«J¨Î§»
516-22011400300015	KSB PN2	78625-2152-00046	2022-1-19 15:51:14	«J¨Î§»
516-22011400300015	KSB SN2	505-21050700910046	2022-1-19 15:51:14	«J¨Î§»
516-22011400300015	KSB2 DIMM1	NCA12107020240059	2022-1-19 15:51:14	«J¨Î§»
516-22011400300015	KSB2 DIMM0	NCA12107020240060	2022-1-19 15:51:14	«J¨Î§»
516-22011400300015	ATHENA MBSN	505-21072000110041	2022-1-19 15:51:14	«J¨Î§»
516-22011400300015	MBSN	84183-2149-00041	2022-1-19 15:51:14	«J¨Î§»
516-22011400300015	YB BLADE SN	C0-0019-14-01TBA2204AC23A44	2022-1-19 15:51:14	«J¨Î§»
516-22011400300016	SPPN	M06-01213-G4_A04	2022-1-19 16:00:16	«J¨Î§»
516-22011400300016	YB ABB-FLB	7C-0030-00R03	2022-1-19 16:00:16	«J¨Î§»
516-22011400300016	YB U2BP PN	7C-0032-01-01	2022-1-19 16:00:16	«J¨Î§»
516-22011400300016	YB U2BP PN2	7C-0032-01-01	2022-1-19 16:00:16	«J¨Î§»
516-22011400300016	YB KSB PN	7C-0031-00-01	2022-1-19 16:00:16	«J¨Î§»
516-22011400300016	YB KSB PN2	7C-0031-00-01	2022-1-19 16:00:16	«J¨Î§»
516-22011400300016	ATHENA MBPN	7C-0022-02-03	2022-1-19 16:00:16	«J¨Î§»
516-22011400300016	ABB-FLB	505-21050700410084	2022-1-19 16:00:16	«J¨Î§»
516-22011400300016	U2BP PN	78626-2152-00037	2022-1-19 16:00:16	«J¨Î§»
516-22011400300016	U2BP SN	505-21050700710037	2022-1-19 16:00:16	«J¨Î§»
516-22011400300016	U2BP PN2	78626-2152-00045	2022-1-19 16:00:16	«J¨Î§»
516-22011400300016	U2BP SN2	505-21050700710045	2022-1-19 16:00:16	«J¨Î§»
516-22011400300016	KSB PN	78625-2152-00027	2022-1-19 16:00:16	«J¨Î§»
516-22011400300016	KSB SN	505-21050700910027	2022-1-19 16:00:16	«J¨Î§»
516-22011400300016	KSB1 DIMM0	NCA12107020240061	2022-1-19 16:00:16	«J¨Î§»
516-22011400300016	KSB1 DIMM1	NCA12107020240062	2022-1-19 16:00:16	«J¨Î§»
516-22011400300016	KSB PN2	78625-2152-00033	2022-1-19 16:00:16	«J¨Î§»
516-22011400300016	KSB SN2	505-21050700910033	2022-1-19 16:00:16	«J¨Î§»
516-22011400300016	KSB2 DIMM1	NCA12107020240063	2022-1-19 16:00:16	«J¨Î§»
516-22011400300016	KSB2 DIMM0	NCA12107020240064	2022-1-19 16:00:16	«J¨Î§»
516-22011400300016	ATHENA MBSN	505-21072000110049	2022-1-19 16:00:16	«J¨Î§»
516-22011400300016	MBSN	84183-2149-00049	2022-1-19 16:00:16	«J¨Î§»
516-22011400300016	YB BLADE SN	C0-0019-14-01TBA2204AC23AA4	2022-1-19 16:00:16	«J¨Î§»
516-22011400300017	SPPN	M06-01213-G4_A04	2022-1-19 16:14:56	«J¨Î§»
516-22011400300017	YB ABB-FLB	7C-0030-00R03	2022-1-19 16:14:56	«J¨Î§»
516-22011400300017	YB U2BP PN	7C-0032-01-01	2022-1-19 16:14:56	«J¨Î§»
516-22011400300017	YB U2BP PN2	7C-0032-01-01	2022-1-19 16:14:56	«J¨Î§»
516-22011400300017	YB KSB PN	7C-0031-00-01	2022-1-19 16:14:56	«J¨Î§»
516-22011400300017	YB KSB PN2	7C-0031-00-01	2022-1-19 16:14:56	«J¨Î§»
516-22011400300017	ATHENA MBPN	7C-0022-02-03	2022-1-19 16:14:56	«J¨Î§»
516-22011400300017	ABB-FLB	505-21050700410001	2022-1-19 16:14:56	«J¨Î§»
516-22011400300017	U2BP PN	78626-2152-00002	2022-1-19 16:14:56	«J¨Î§»
516-22011400300017	U2BP SN	505-21050700710002	2022-1-19 16:14:56	«J¨Î§»
516-22011400300017	U2BP PN2	78626-2152-00015	2022-1-19 16:14:56	«J¨Î§»
516-22011400300017	U2BP SN2	505-21050700710015	2022-1-19 16:14:56	«J¨Î§»
516-22011400300017	KSB PN	78625-2152-00045	2022-1-19 16:14:56	«J¨Î§»
516-22011400300017	KSB SN	505-21050700910045	2022-1-19 16:14:56	«J¨Î§»
516-22011400300017	KSB1 DIMM0	NCA12107020240065	2022-1-19 16:14:56	«J¨Î§»
516-22011400300017	KSB1 DIMM1	NCA12107020240066	2022-1-19 16:14:56	«J¨Î§»
516-22011400300017	KSB PN2	78625-2152-00044	2022-1-19 16:14:56	«J¨Î§»
516-22011400300017	KSB SN2	505-21050700910044	2022-1-19 16:14:56	«J¨Î§»
516-22011400300017	KSB2 DIMM1	NCA12107020240067	2022-1-19 16:14:56	«J¨Î§»
516-22011400300017	KSB2 DIMM0	NCA12107020240068	2022-1-19 16:14:56	«J¨Î§»
516-22011400300017	ATHENA MBSN	505-21072000110042	2022-1-19 16:14:56	«J¨Î§»
516-22011400300017	MBSN	84183-2149-00042	2022-1-19 16:14:56	«J¨Î§»
516-22011400300017	YB BLADE SN	C0-0019-14-01TBA2204AC23A50	2022-1-19 16:14:56	«J¨Î§»
516-22011400300018	SPPN	M06-01213-G4_A04	2022-1-19 16:28:11	«J¨Î§»
516-22011400300018	YB ABB-FLB	7C-0030-00R03	2022-1-19 16:28:11	«J¨Î§»
516-22011400300018	YB U2BP PN	7C-0032-01-01	2022-1-19 16:28:11	«J¨Î§»
516-22011400300018	YB U2BP PN2	7C-0032-01-01	2022-1-19 16:28:11	«J¨Î§»
516-22011400300018	YB KSB PN	7C-0031-00-01	2022-1-19 16:28:11	«J¨Î§»
516-22011400300018	YB KSB PN2	7C-0031-00-01	2022-1-19 16:28:11	«J¨Î§»
516-22011400300018	ATHENA MBPN	7C-0022-02-03	2022-1-19 16:28:11	«J¨Î§»
516-22011400300018	ABB-FLB	505-21050700410099	2022-1-19 16:28:11	«J¨Î§»
516-22011400300018	U2BP PN	78626-2152-00011	2022-1-19 16:28:11	«J¨Î§»
516-22011400300018	U2BP SN	505-21050700710011	2022-1-19 16:28:11	«J¨Î§»
516-22011400300018	U2BP PN2	78626-2152-00008	2022-1-19 16:28:11	«J¨Î§»
516-22011400300018	U2BP SN2	505-21050700710008	2022-1-19 16:28:11	«J¨Î§»
516-22011400300018	KSB PN	78625-2152-00034	2022-1-19 16:28:11	«J¨Î§»
516-22011400300018	KSB SN	505-21050700910034	2022-1-19 16:28:11	«J¨Î§»
516-22011400300018	KSB1 DIMM0	NCA12107020240069	2022-1-19 16:28:11	«J¨Î§»
516-22011400300018	KSB1 DIMM1	NCA12107020240070	2022-1-19 16:28:11	«J¨Î§»
516-22011400300018	KSB PN2	78625-2152-00028	2022-1-19 16:28:11	«J¨Î§»
516-22011400300018	KSB SN2	505-21050700910028	2022-1-19 16:28:11	«J¨Î§»
516-22011400300018	KSB2 DIMM1	NCA12107020240071	2022-1-19 16:28:11	«J¨Î§»
516-22011400300018	KSB2 DIMM0	NCA12107020240073	2022-1-19 16:28:11	«J¨Î§»
516-22011400300018	ATHENA MBSN	505-21072000110050	2022-1-19 16:28:11	«J¨Î§»
516-22011400300018	MBSN	84183-2149-00050	2022-1-19 16:28:11	«J¨Î§»
516-22011400300018	YB BLADE SN	C0-0019-14-01TBA2204AC23AB0	2022-1-19 16:28:11	«J¨Î§»
516-22011400300019	ATHENA MBSN	505-21072000110023	2022-1-19 16:40:01	«J¨Î§»
516-22011400300019	MBSN	84183-2149-00023	2022-1-19 16:40:01	«J¨Î§»
516-22011400300019	YB BLADE SN	C0-0019-14-01TBA2204AC2396C	2022-1-19 16:40:01	«J¨Î§»
516-22011400300019	SPPN	M06-01213-G4_A04	2022-1-19 16:40:01	«J¨Î§»
516-22011400300019	YB ABB-FLB	7C-0030-00R03	2022-1-19 16:40:01	«J¨Î§»
516-22011400300019	YB U2BP PN	7C-0032-01-01	2022-1-19 16:40:01	«J¨Î§»
516-22011400300019	YB U2BP PN2	7C-0032-01-01	2022-1-19 16:40:01	«J¨Î§»
516-22011400300019	YB KSB PN	7C-0031-00-01	2022-1-19 16:40:01	«J¨Î§»
516-22011400300019	YB KSB PN2	7C-0031-00-01	2022-1-19 16:40:01	«J¨Î§»
516-22011400300019	ATHENA MBPN	7C-0022-02-03	2022-1-19 16:40:01	«J¨Î§»
516-22011400300019	ABB-FLB	505-21050700410101	2022-1-19 16:40:01	«J¨Î§»
516-22011400300019	U2BP PN	78626-2152-00012	2022-1-19 16:40:01	«J¨Î§»
516-22011400300019	U2BP SN	505-21050700710012	2022-1-19 16:40:01	«J¨Î§»
516-22011400300019	U2BP PN2	78626-2152-00019	2022-1-19 16:40:01	«J¨Î§»
516-22011400300019	U2BP SN2	505-21050700710019	2022-1-19 16:40:01	«J¨Î§»
516-22011400300019	KSB PN	78625-2152-00042	2022-1-19 16:40:01	«J¨Î§»
516-22011400300019	KSB SN	505-21050700910042	2022-1-19 16:40:01	«J¨Î§»
516-22011400300019	KSB1 DIMM0	NCA12107020240072	2022-1-19 16:40:01	«J¨Î§»
516-22011400300019	KSB1 DIMM1	NCA12107020240074	2022-1-19 16:40:01	«J¨Î§»
516-22011400300019	KSB PN2	78625-2152-00047	2022-1-19 16:40:01	«J¨Î§»
516-22011400300019	KSB SN2	505-21050700910047	2022-1-19 16:40:01	«J¨Î§»
516-22011400300019	KSB2 DIMM1	NCA12107020240075	2022-1-19 16:40:01	«J¨Î§»
516-22011400300019	KSB2 DIMM0	NCA12107020240076	2022-1-19 16:40:01	«J¨Î§»
516-22011400300020	SPPN	M06-01213-G4_A04	2022-1-19 16:47:35	«J¨Î§»
516-22011400300020	YB ABB-FLB	7C-0030-00R03	2022-1-19 16:47:35	«J¨Î§»
516-22011400300020	YB U2BP PN	7C-0032-01-01	2022-1-19 16:47:35	«J¨Î§»
516-22011400300020	YB U2BP PN2	7C-0032-01-01	2022-1-19 16:47:35	«J¨Î§»
516-22011400300020	YB KSB PN	7C-0031-00-01	2022-1-19 16:47:35	«J¨Î§»
516-22011400300020	YB KSB PN2	7C-0031-00-01	2022-1-19 16:47:35	«J¨Î§»
516-22011400300020	ATHENA MBPN	7C-0022-02-03	2022-1-19 16:47:35	«J¨Î§»
516-22011400300020	ABB-FLB	505-21050700410102	2022-1-19 16:47:35	«J¨Î§»
516-22011400300020	U2BP PN	78626-2152-00039	2022-1-19 16:47:35	«J¨Î§»
516-22011400300020	U2BP SN	505-21050700710039	2022-1-19 16:47:35	«J¨Î§»
516-22011400300020	U2BP PN2	78626-2152-00023	2022-1-19 16:47:35	«J¨Î§»
516-22011400300020	U2BP SN2	505-21050700710023	2022-1-19 16:47:35	«J¨Î§»
516-22011400300020	KSB PN	78625-2152-00030	2022-1-19 16:47:35	«J¨Î§»
516-22011400300020	KSB SN	505-21050700910030	2022-1-19 16:47:35	«J¨Î§»
516-22011400300020	KSB1 DIMM0	NCA12107020240077	2022-1-19 16:47:35	«J¨Î§»
516-22011400300020	KSB1 DIMM1	NCA12107020240078	2022-1-19 16:47:35	«J¨Î§»
516-22011400300020	KSB PN2	78625-2152-00029	2022-1-19 16:47:35	«J¨Î§»
516-22011400300020	KSB SN2	505-21050700910029	2022-1-19 16:47:35	«J¨Î§»
516-22011400300020	KSB2 DIMM1	NCA12107020240079	2022-1-19 16:47:35	«J¨Î§»
516-22011400300020	KSB2 DIMM0	NCA12107020240080	2022-1-19 16:47:35	«J¨Î§»
516-22011400300020	ATHENA MBSN	505-21072000110045	2022-1-19 16:47:35	«J¨Î§»
516-22011400300020	MBSN	84183-2149-00045	2022-1-19 16:47:35	«J¨Î§»
516-22011400300020	YB BLADE SN	C0-0019-14-01TBA2204AC23A74	2022-1-19 16:47:35	«J¨Î§»
516-22011400300021	SPPN	M06-01213-G4_A04	2022-1-19 18:11:39	«J¨Î§»
516-22011400300021	YB ABB-FLB	7C-0030-00R03	2022-1-19 18:11:39	«J¨Î§»
516-22011400300021	YB U2BP PN	7C-0032-01-01	2022-1-19 18:11:39	«J¨Î§»
516-22011400300021	YB U2BP PN2	7C-0032-01-01	2022-1-19 18:11:39	«J¨Î§»
516-22011400300021	YB KSB PN	7C-0031-00-01	2022-1-19 18:11:39	«J¨Î§»
516-22011400300021	YB KSB PN2	7C-0031-00-01	2022-1-19 18:11:39	«J¨Î§»
516-22011400300021	ATHENA MBPN	7C-0022-02-03	2022-1-19 18:11:39	«J¨Î§»
516-22011400300021	ABB-FLB	505-21050700410012	2022-1-19 18:11:39	«J¨Î§»
516-22011400300021	U2BP PN	78626-2152-00030	2022-1-19 18:11:39	«J¨Î§»
516-22011400300021	U2BP SN	505-21050700710030	2022-1-19 18:11:39	«J¨Î§»
516-22011400300021	U2BP PN2	78626-2152-00036	2022-1-19 18:11:39	«J¨Î§»
516-22011400300021	U2BP SN2	505-21050700710036	2022-1-19 18:11:39	«J¨Î§»
516-22011400300021	KSB PN	78625-2152-00036	2022-1-19 18:11:39	«J¨Î§»
516-22011400300021	KSB SN	505-21050700910036	2022-1-19 18:11:39	«J¨Î§»
516-22011400300021	KSB1 DIMM0	NCA12107020240081	2022-1-19 18:11:39	«J¨Î§»
516-22011400300021	KSB1 DIMM1	NCA12107020240082	2022-1-19 18:11:39	«J¨Î§»
516-22011400300021	KSB PN2	78625-2152-00035	2022-1-19 18:11:39	«J¨Î§»
516-22011400300021	KSB SN2	505-21050700910035	2022-1-19 18:11:39	«J¨Î§»
516-22011400300021	KSB2 DIMM1	NCA12107020240083	2022-1-19 18:11:39	«J¨Î§»
516-22011400300021	KSB2 DIMM0	NCA12107020240084	2022-1-19 18:11:39	«J¨Î§»
516-22011400300021	ATHENA MBSN	505-21072000110044	2022-1-19 18:11:39	«J¨Î§»
516-22011400300021	MBSN	84183-2149-00044	2022-1-19 18:11:39	«J¨Î§»
516-22011400300021	YB BLADE SN	C0-0019-14-01TBA2204AC23A68	2022-1-19 18:11:39	«J¨Î§»
516-22011400300025	SPPN	M06-01213-G4_A04	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300025	YB ABB-FLB	7C-0030-00R03	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300025	YB U2BP PN	7C-0032-01-01	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300025	YB U2BP PN2	7C-0032-01-01	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300025	YB KSB PN	7C-0031-00-01	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300025	YB KSB PN2	7C-0031-00-01	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300025	ATHENA MBPN	7C-0022-02-03	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300025	ABB-FLB	505-21050700410019	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300025	ATHENA MBSN	505-21072000110058	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300025	MBSN	84183-2149-00058	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300025	KSB PN	78625-2152-00098	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300025	KSB SN	505-21050700910098	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300025	U2BP PN	78626-2152-00129	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300025	U2BP SN	505-21050700710129	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300025	KSB PN2	78626-2152-00082	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300025	KSB SN2	505-21050700710082	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300025	U2BP PN2	89082-2204-00096	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300025	U2BP SN2	505-21102704310096	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300025	YB BLADE SN	C0-0019-14-01TBA2204AC23B10	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300025	KSB1 DIMM0	NCA12107020240091	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300025	KSB1 DIMM1	NCA12107020240050	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300025	KSB2 DIMM1	NCA12107020240092	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300025	KSB2 DIMM0	NCA12107020240049	2022-2-17 18:15:30	¼Úªø®Ë
516-22011400300033	SPPN	M06-01213-G4_A04	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300033	YB ABB-FLB	7C-0030-00R03	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300033	YB U2BP PN	7C-0032-01-01	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300033	YB U2BP PN2	7C-0032-01-01	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300033	YB KSB PN	7C-0031-00-01	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300033	YB KSB PN2	7C-0031-00-01	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300033	ATHENA MBPN	7C-0022-02-03	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300033	ABB-FLB	505-21050700410079	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300033	ATHENA MBSN	505-21072000110063	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300033	MBSN	84183-2149-00063	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300033	KSB PN	89082-2204-00013	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300033	KSB SN	505-21102704310013	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300033	U2BP PN	78626-2152-00127	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300033	U2BP SN	505-21050700710127	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300033	KSB PN2	89082-2204-00086	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300033	KSB SN2	505-21102704310086	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300033	U2BP PN2	78626-2152-00134	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300033	U2BP SN2	505-21050700710134	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300033	YB BLADE SN	C0-0019-14-01TBA2204AC23B4C	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300033	KSB1 DIMM0	NCA12107020240088	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300033	KSB1 DIMM1	NCA12107020240046	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300033	KSB2 DIMM1	NCA12107020240087	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300033	KSB2 DIMM0	NCA12107020240045	2022-2-17 18:21:43	¼Úªø®Ë
516-22011400300034	SPPN	M06-01213-G4_A04	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300034	YB ABB-FLB	7C-0030-00R03	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300034	YB U2BP PN	7C-0032-01-01	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300034	YB U2BP PN2	7C-0032-01-01	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300034	YB KSB PN	7C-0031-00-01	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300034	YB KSB PN2	7C-0031-00-01	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300034	ATHENA MBPN	7C-0022-02-03	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300034	ABB-FLB	505-21050700410075	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300034	ATHENA MBSN	505-21072000110062	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300034	MBSN	84183-2149-00062	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300034	KSB PN	89082-2204-00024	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300034	KSB SN	505-21102704310024	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300034	U2BP PN	78626-2152-00130	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300034	U2BP SN	505-21050700710130	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300034	KSB PN2	89082-2204-00085	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300034	KSB SN2	505-21102704310085	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300034	U2BP PN2	78626-2152-00062	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300034	U2BP SN2	505-21050700710062	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300034	YB BLADE SN	C0-0019-14-01TBA2204AC23B40	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300034	KSB1 DIMM0	NCA12107020240086	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300034	KSB1 DIMM1	NCA12107020240044	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300034	KSB2 DIMM1	NCA12107020240085	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300034	KSB2 DIMM0	NCA12107020240043	2022-2-17 18:30:28	¼Úªø®Ë
516-22011400300035	SPPN	M06-01213-G4_A04	2022-2-17 18:33:07	¼Úªø®Ë
516-22011400300035	YB ABB-FLB	7C-0030-00R03	2022-2-17 18:33:07	¼Úªø®Ë
516-22011400300035	YB U2BP PN	7C-0032-01-01	2022-2-17 18:33:07	¼Úªø®Ë
516-22011400300035	YB U2BP PN2	7C-0032-01-01	2022-2-17 18:33:07	¼Úªø®Ë
516-22011400300035	YB KSB PN	7C-0031-00-01	2022-2-17 18:33:07	¼Úªø®Ë
516-22011400300035	YB KSB PN2	7C-0031-00-01	2022-2-17 18:33:07	¼Úªø®Ë
516-22011400300035	ATHENA MBPN	7C-0022-02-03	2022-2-17 18:33:07	¼Úªø®Ë
516-22011400300035	ABB-FLB	505-21050700410078	2022-2-17 18:33:07	¼Úªø®Ë
516-22011400300035	ATHENA MBSN	505-21072000110061	2022-2-17 18:33:07	¼Úªø®Ë
516-22011400300035	MBSN	84183-2149-00061	2022-2-17 18:33:07	¼Úªø®Ë
516-22011400300035	KSB PN	89082-2204-00023	2022-2-17 18:33:07	¼Úªø®Ë
516-22011400300035	KSB SN	505-21102704310023	2022-2-17 18:33:07	¼Úªø®Ë
516-22011400300035	U2BP PN	78626-2152-00088	2022-2-17 18:33:07	¼Úªø®Ë
516-22011400300035	U2BP SN	505-21050700710088	2022-2-17 18:33:07	¼Úªø®Ë
516-22011400300035	KSB PN2	89082-2204-00079	2022-2-17 18:33:07	¼Úªø®Ë
516-22011400300035	KSB SN2	505-21102704310079	2022-2-17 18:33:07	¼Úªø®Ë
516-22011400300035	U2BP PN2	78626-2152-00067	2022-2-17 18:33:07	¼Úªø®Ë
516-22011400300035	U2BP SN2	505-21050700710067	2022-2-17 18:33:07	¼Úªø®Ë
516-22011400300035	YB BLADE SN	C0-0019-14-01TBA2204AC23B34	2022-2-17 18:33:07	¼Úªø®Ë
516-22011400300035	KSB1 DIMM0	NCA12107020240101	2022-2-17 18:33:07	¼Úªø®Ë
516-22011400300035	KSB1 DIMM1	NCA12107020240040	2022-2-17 18:33:07	¼Úªø®Ë
516-22011400300035	KSB2 DIMM1	NCA12107020240150	2022-2-17 18:33:07	¼Úªø®Ë
516-22011400300035	KSB2 DIMM0	NCA12107020240039	2022-2-17 18:33:07	¼Úªø®Ë
